SN,Province,District,Sector,Cellule,Village,Code_vil_1,NEP Revision July 2023,,,,,,,,,,,,,,,,,,
1,Kigali City,Nyarugenge,Gitega,Akabahizi,Gihanga,11010102,GE,,,,,,,,,,,,,,,,,,
2,Kigali City,Nyarugenge,Gitega,Akabahizi,Iterambere,11010103,GE,,,,,,,,,,,,,,,,,,
3,Kigali City,Nyarugenge,Gitega,Akabahizi,Izuba,11010104,GE,,,,,,,,,,,,,,,,,,
4,Kigali City,Nyarugenge,Gitega,Akabahizi,Nyaburanga,11010105,GE,,,,,,,,,,,,,,,,,,
5,Kigali City,Nyarugenge,Gitega,Akabahizi,Nyenyeri,11010106,GE,,,,,,,,,,,,,,,,,,
6,Kigali City,Nyarugenge,Gitega,Akabahizi,Ubukorikori,11010107,GE,,,,,,,,,,,,,,,,,,
7,Kigali City,Nyarugenge,Gitega,Akabahizi,Ubumwe,11010108,Fill In,,,,,,,,,,,,,,,,,,
8,Kigali City,Nyarugenge,Gitega,Akabahizi,Ubwiyunge,11010109,GE,,,,,,,,,,,,,,,,,,
9,Kigali City,Nyarugenge,Gitega,Akabahizi,Umucyo,11010110,GE,,,,,,,,,,,,,,,,,,
10,Kigali City,Nyarugenge,Gitega,Akabahizi,Umurabyo,11010111,GE,,,,,,,,,,,,,,,,,,
11,Kigali City,Nyarugenge,Gitega,Akabahizi,Umuseke,11010112,GE,,,,,,,,,,,,,,,,,,
12,Kigali City,Nyarugenge,Gitega,Akabahizi,Vugizo,11010113,GE,,,,,,,,,,,,,,,,,,
13,Kigali City,Nyarugenge,Gitega,Akabeza,Akinyambo,11010201,GE,,,,,,,,,,,,,,,,,,
14,Kigali City,Nyarugenge,Gitega,Akabeza,Amayaga,11010202,GE,,,,,,,,,,,,,,,,,,
15,Kigali City,Nyarugenge,Gitega,Akabeza,Gitwa,11010203,Fill In,,,,,,,,,,,,,,,,,,
16,Kigali City,Nyarugenge,Gitega,Akabeza,Ituze,11010204,GE,,,,,,,,,,,,,,,,,,
17,Kigali City,Nyarugenge,Gitega,Akabeza,Mpazi,11010205,GE,,,,,,,,,,,,,,,,,,
18,Kigali City,Nyarugenge,Gitega,Gacyamo,Amahoro,11010301,GE,,,,,,,,,,,,,,,,,,
19,Kigali City,Nyarugenge,Gitega,Gacyamo,Impuhwe,11010302,GE,,,,,,,,,,,,,,,,,,
20,Kigali City,Nyarugenge,Gitega,Gacyamo,Intsinzi,11010303,GE,,,,,,,,,,,,,,,,,,
21,Kigali City,Nyarugenge,Gitega,Gacyamo,Kivumu,11010304,GE,,,,,,,,,,,,,,,,,,
22,Kigali City,Nyarugenge,Gitega,Gacyamo,Ubumwe,11010305,GE,,,,,,,,,,,,,,,,,,
23,Kigali City,Nyarugenge,Gitega,Gacyamo,Urukundo,11010306,GE,,,,,,,,,,,,,,,,,,
24,Kigali City,Nyarugenge,Gitega,Gacyamo,Ururembo,11010307,GE,,,,,,,,,,,,,,,,,,
25,Kigali City,Nyarugenge,Gitega,Kigarama,Ingenzi,11010401,Fill In,,,,,,,,,,,,,,,,,,
